epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.6296,0,1,1,0,0.00012,0.00012,0.00012
2,70.1291,0,1,1,0,0.000256783,0.000256783,0.000256783
3,106.628,0,1,1,0,0.0003901,0.0003901,0.0003901
4,145.019,0,1,1,0,0.000519953,0.000519953,0.000519953
5,176.428,0,1,1,0,0.00064634,0.00064634,0.00064634
6,208.656,0,1,1,0,0.000769263,0.000769263,0.000769263
7,241.565,0,1,1,0,0.00088872,0.00088872,0.00088872
8,271.788,0,1,1,0,0.00100471,0.00100471,0.00100471
9,308.16,0,1,1,0,0.00111724,0.00111724,0.00111724
10,347.371,0,1,1,0,0.0012263,0.0012263,0.0012263
11,385.901,0,1,1,0,0.0013319,0.0013319,0.0013319
